SR_WL	SR_Blue	SR_Green	SR_Red	SR_Pan	SR_NIR
588.0000000000	0.0001431855	0.0071535983	0.0005784839	0.0023753989	0.0000352325
589.0000000000	0.0001416270	0.0068795197	0.0006150231	0.0023846292	0.0000342308
590.0000000000	0.0001400684	0.0066054411	0.0006515623	0.0023938595	0.0000332291
591.0000000000	0.0001392572	0.0062568766	0.0006982370	0.0023990298	0.0000331309
592.0000000000	0.0001384460	0.0059083121	0.0007449117	0.0024042002	0.0000330326
593.0000000000	0.0001376348	0.0055597476	0.0007915864	0.0024093706	0.0000329343
594.0000000000	0.0001368235	0.0052111831	0.0008382611	0.0024145409	0.0000328360
595.0000000000	0.0001360123	0.0048626186	0.0008849359	0.0024197113	0.0000327378
596.0000000000	0.0001374291	0.0045201568	0.0009526244	0.0024185745	0.0000324902
597.0000000000	0.0001388459	0.0041776949	0.0010203129	0.0024174377	0.0000322426
598.0000000000	0.0001402627	0.0038352331	0.0010880015	0.0024163010	0.0000319950
599.0000000000	0.0001416795	0.0034927712	0.0011556900	0.0024151642	0.0000317474
600.0000000000	0.0001430963	0.0031503094	0.0012233786	0.0024140274	0.0000314998
601.0000000000	0.0001456507	0.0029302911	0.0013382276	0.0024295733	0.0000315615
602.0000000000	0.0001482052	0.0027102728	0.0014530766	0.0024451193	0.0000316233
603.0000000000	0.0001507596	0.0024902546	0.0015679256	0.0024606653	0.0000316850
604.0000000000	0.0001533141	0.0022702363	0.0016827746	0.0024762112	0.0000317468
605.0000000000	0.0001558685	0.0020502181	0.0017976237	0.0024917572	0.0000318085
606.0000000000	0.0001551320	0.0019180834	0.0020134447	0.0024951497	0.0000323148
607.0000000000	0.0001543955	0.0017859487	0.0022292658	0.0024985422	0.0000328211
608.0000000000	0.0001536590	0.0016538140	0.0024450869	0.0025019346	0.0000333274
609.0000000000	0.0001529225	0.0015216793	0.0026609080	0.0025053271	0.0000338337
610.0000000000	0.0001521860	0.0013895446	0.0028767291	0.0025087196	0.0000343400
611.0000000000	0.0001448774	0.0012933075	0.0032276175	0.0025034200	0.0000353613
612.0000000000	0.0001375689	0.0011970703	0.0035785059	0.0024981204	0.0000363826
613.0000000000	0.0001302603	0.0011008332	0.0039293942	0.0024928208	0.0000374039
614.0000000000	0.0001229518	0.0010045960	0.0042802826	0.0024875212	0.0000384252
615.0000000000	0.0001156432	0.0009083589	0.0046311710	0.0024822216	0.0000394465
616.0000000000	0.0001082529	0.0008390453	0.0050967977	0.0024887881	0.0000400824
617.0000000000	0.0001008626	0.0007697318	0.0055624243	0.0024953546	0.0000407183
618.0000000000	0.0000934722	0.0007004182	0.0060280510	0.0025019210	0.0000413541
619.0000000000	0.0000860819	0.0006311047	0.0064936777	0.0025084875	0.0000419900
620.0000000000	0.0000786916	0.0005617911	0.0069593043	0.0025150540	0.0000426258
621.0000000000	0.0000733761	0.0005230090	0.0074253166	0.0025088013	0.0000440287
622.0000000000	0.0000680607	0.0004842269	0.0078913288	0.0025025485	0.0000454316
623.0000000000	0.0000627452	0.0004454448	0.0083573411	0.0024962958	0.0000468345
624.0000000000	0.0000574297	0.0004066627	0.0088233533	0.0024900431	0.0000482374
625.0000000000	0.0000521143	0.0003678806	0.0092893656	0.0024837903	0.0000496403
626.0000000000	0.0000494039	0.0003504330	0.0096916483	0.0024839077	0.0000503648
627.0000000000	0.0000466936	0.0003329853	0.0100939309	0.0024840250	0.0000510894
628.0000000000	0.0000439833	0.0003155377	0.0104962136	0.0024841423	0.0000518139
629.0000000000	0.0000412730	0.0002980901	0.0108984963	0.0024842597	0.0000525385
